N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,A rather passive approach to the Caro-Kann.
2,c6,c7c6,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,A rather passive approach to the Caro-Kann.
3,d4,d2d4,rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,A rather passive approach to the Caro-Kann.
4,d5,d7d5,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,A rather passive approach to the Caro-Kann.
5,Nd2,b1d2,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq - 1 3,A rather passive approach to the Caro-Kann.
6,dxe4,d5e4,rnbqkbnr/pp2pppp/2p5/8/3Pp3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,Black also plays a quiet move. Neither player is willing to open the game up yet.
7,Nxe4,d2e4,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,Black also plays a quiet move. Neither player is willing to open the game up yet.
8,Nd7,b8d7,r1bqkbnr/pp1npppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,Black also plays a quiet move. Neither player is willing to open the game up yet.
9,Bc4,f1c4,r1bqkbnr/pp1npppp/2p5/8/2BPN3/8/PPP2PPP/R1BQK1NR b KQkq - 2 5,Beginning to pressure Black's K-side.
10,Ngf6,g8f6,r1bqkb1r/pp1npppp/2p2n2/8/2BPN3/8/PPP2PPP/R1BQK1NR w KQkq - 3 6,"Attacking the weak point at KB7. Deep Blue used the same Knight move against an exhausted Garry Kasparov in a Caro-Kann to win the decisive Game 6 of the second match, thus making a computer World Champion. Humans have, as yet, been unable to reclaim that mantle."
11,Ng5,e4g5,r1bqkb1r/pp1npppp/2p2n2/6N1/2BP4/8/PPP2PPP/R1BQK1NR b KQkq - 4 6,"Attacking the weak point at KB7. Deep Blue used the same Knight move against an exhausted Garry Kasparov in a Caro-Kann to win the decisive Game 6 of the second match, thus making a computer World Champion. Humans have, as yet, been unable to reclaim that mantle."
12,e6,e7e6,r1bqkb1r/pp1n1ppp/2p1pn2/6N1/2BP4/8/PPP2PPP/R1BQK1NR w KQkq - 0 7,Preparing to drive the advanced White Knight.
13,Qe2,d1e2,r1bqkb1r/pp1n1ppp/2p1pn2/6N1/2BP4/8/PPP1QPPP/R1B1K1NR b KQkq - 1 7,Preparing to drive the advanced White Knight.
14,Nb6,d7b6,r1bqkb1r/pp3ppp/1np1pn2/6N1/2BP4/8/PPP1QPPP/R1B1K1NR w KQkq - 2 8,Preparing to drive the advanced White Knight.
15,Bd3,c4d3,r1bqkb1r/pp3ppp/1np1pn2/6N1/3P4/3B4/PPP1QPPP/R1B1K1NR b KQkq - 3 8,The scene appears utterly pacific. Black should focus on keeping the game closed and getting his King into safety.
16,h6,h7h6,r1bqkb1r/pp3pp1/1np1pn1p/6N1/3P4/3B4/PPP1QPPP/R1B1K1NR w KQkq - 0 9,The scene appears utterly pacific. Black should focus on keeping the game closed and getting his King into safety.
17,Ng5f3,g5f3,r1bqkb1r/pp3pp1/1np1pn1p/8/3P4/3B1N2/PPP1QPPP/R1B1K1NR b KQkq - 1 9,The scene appears utterly pacific. Black should focus on keeping the game closed and getting his King into safety.
18,c5,c6c5,r1bqkb1r/pp3pp1/1n2pn1p/2p5/3P4/3B1N2/PPP1QPPP/R1B1K1NR w KQkq - 0 10,A strategic error. White has the initiative and can exploit the opening up of the game better than Black.
19,dxc5,d4c5,r1bqkb1r/pp3pp1/1n2pn1p/2P5/8/3B1N2/PPP1QPPP/R1B1K1NR b KQkq - 0 10,"I would think that 11... B-K2, preparing 12... O-O, would be a better plan. With the game opening up, Black needs to get his King out of the center."
20,Nbd7,b6d7,r1bqkb1r/pp1n1pp1/4pn1p/2P5/8/3B1N2/PPP1QPPP/R1B1K1NR w KQkq - 1 11,"I would think that 11... B-K2, preparing 12... O-O, would be a better plan. With the game opening up, Black needs to get his King out of the center."
21,b4,b2b4,r1bqkb1r/pp1n1pp1/4pn1p/2P5/1P6/3B1N2/P1P1QPPP/R1B1K1NR b KQkq - 0 11,"I would think that 11... B-K2, preparing 12... O-O, would be a better plan. With the game opening up, Black needs to get his King out of the center."
22,b6,b7b6,r1bqkb1r/p2n1pp1/1p2pn1p/2P5/1P6/3B1N2/P1P1QPPP/R1B1K1NR w KQkq - 0 12,"I would think that 11... B-K2, preparing 12... O-O, would be a better plan. With the game opening up, Black needs to get his King out of the center."
23,Nd4,f3d4,r1bqkb1r/p2n1pp1/1p2pn1p/2P5/1P1N4/3B4/P1P1QPPP/R1B1K1NR b KQkq - 1 12,Threatening to penetrate decisively.
24,bxc5,b6c5,r1bqkb1r/p2n1pp1/4pn1p/2p5/1P1N4/3B4/P1P1QPPP/R1B1K1NR w KQkq - 0 13,Allowing a sharp tactical sequence.
25,Nc6,d4c6,r1bqkb1r/p2n1pp1/2N1pn1p/2p5/1P6/3B4/P1P1QPPP/R1B1K1NR b KQkq - 1 13,The Queen must bestir herself.
26,Qc7,d8c7,r1b1kb1r/p1qn1pp1/2N1pn1p/2p5/1P6/3B4/P1P1QPPP/R1B1K1NR w KQkq - 2 14,Getting the Q out of immediate danger. However...
27,Qxe6+,e2e6,r1b1kb1r/p1qn1pp1/2N1Qn1p/2p5/1P6/3B4/P1P2PPP/R1B1K1NR b KQkq - 0 14,"...this move is decisive. Black resigns, as the Q cannot be captured [14... PxQ 15 B-N6 mate] and interposing doesn't solve the problem [14... B-K2 15 QxB mate]."
